,date,co2,co,pm,uv,temperature,humidity
2022-01-16 00:03:04,2022-01-16 00:03:04,1032.0413,7.78087,0.02188,2.7832,30.0,64.0
2022-01-16 00:08:18,2022-01-16 00:08:18,1032.0413,7.78087,0.0202,2.7832,30.0,64.0
2022-01-16 00:13:33,2022-01-16 00:13:33,946.65967,7.65622,0.0244,2.63672,30.0,64.0
2022-01-16 00:18:47,2022-01-16 00:18:47,946.65967,7.53288,0.02944,2.63672,30.0,64.0
2022-01-16 00:24:01,2022-01-16 00:24:01,909.884325,7.440348333333333,0.02608,2.63672,29.0,63.0
2022-01-16 00:29:16,2022-01-16 00:29:16,946.65967,7.59438,0.0118,2.73438,30.0,64.0
2022-01-16 00:34:31,2022-01-16 00:34:31,881.0150833333332,7.431033333333333,0.03615,2.63672,30.0,64.0
2022-01-16 00:39:45,2022-01-16 00:39:45,934.18542,7.4717,0.02692,2.63672,29.0,63.0
2022-01-16 00:44:59,2022-01-16 00:44:59,934.18542,7.53288,0.02621833333333333,2.63672,29.0,63.0
2022-01-16 00:50:12,2022-01-16 00:50:12,934.18542,7.53288,0.01684,2.63672,29.0,63.0
2022-01-16 00:55:26,2022-01-16 00:55:26,919.35706,7.53288,0.02692,2.63672,30.0,64.0
2022-01-16 01:00:40,2022-01-16 01:00:40,934.18542,7.53288,0.02776,2.63672,29.0,63.0
2022-01-16 01:05:59,2022-01-16 01:05:59,936.9680966666666,7.522736666666667,0.021320000000000002,2.63672,29.0,63.5
2022-01-16 01:11:02,2022-01-16 01:11:02,928.74274,7.4717,0.02272,2.63672,29.0,64.0
2022-01-16 01:16:16,2022-01-16 01:16:16,956.32416,7.4717,0.02692,2.63672,29.0,64.0
2022-01-16 01:21:31,2022-01-16 01:21:31,956.32416,7.53288,0.0202,2.63672,29.0,64.0
2022-01-16 01:26:45,2022-01-16 01:26:45,956.32416,7.53288,0.02776,3.32031,29.0,64.0
2022-01-16 01:31:59,2022-01-16 01:31:59,956.32416,7.59438,0.02272,2.63672,29.0,64.0
2022-01-16 01:37:13,2022-01-16 01:37:13,956.32416,7.53288,0.029016666666666666,2.63672,29.0,64.0
2022-01-16 01:42:28,2022-01-16 01:42:28,950.74078,7.635935,0.02692,2.63672,29.0,65.0
2022-01-16 01:47:42,2022-01-16 01:47:42,950.74078,7.59438,0.0328,2.63672,29.0,65.0
2022-01-16 01:52:56,2022-01-16 01:52:56,950.74078,7.53288,0.02776,2.63672,29.0,65.0
2022-01-16 01:58:10,2022-01-16 01:58:10,950.74078,7.53288,0.02272,2.63672,29.0,65.0
2022-01-16 02:03:26,2022-01-16 02:03:26,950.74078,7.53288,0.03699,3.125,29.0,65.0
2022-01-16 02:08:40,2022-01-16 02:08:40,950.74078,7.71838,0.02944,2.63672,29.0,65.0
2022-01-16 02:13:54,2022-01-16 02:13:54,950.74078,7.656491666666667,0.03531,2.63672,29.0,65.0
2022-01-16 02:19:08,2022-01-16 02:19:08,950.74078,7.65622,0.03783,2.63672,29.0,65.0
2022-01-16 02:24:24,2022-01-16 02:24:24,950.74078,7.65622,0.0244,2.63672,29.0,65.0
2022-01-16 02:29:39,2022-01-16 02:29:39,950.74078,7.78087,0.0286,2.63672,29.0,65.0
2022-01-16 02:34:53,2022-01-16 02:34:53,950.74078,7.71838,0.03364,2.68555,29.0,65.0
2022-01-16 02:40:07,2022-01-16 02:40:07,950.74078,7.78087,0.02692,2.68555,29.0,65.0
2022-01-16 02:45:21,2022-01-16 02:45:21,950.74078,7.71838,0.02734,2.68555,29.0,65.0
2022-01-16 02:50:35,2022-01-16 02:50:35,950.74078,7.65622,0.02944,2.68555,29.0,65.0
2022-01-16 02:55:49,2022-01-16 02:55:49,950.74078,7.59438,0.03196,2.68555,29.0,65.0
2022-01-16 03:01:03,2022-01-16 03:01:03,950.74078,7.65622,0.0202,3.32031,29.0,65.0
2022-01-16 03:06:18,2022-01-16 03:06:18,950.74078,7.65622,0.03615,2.68555,29.0,65.0
2022-01-16 03:11:32,2022-01-16 03:11:32,950.74078,7.65622,0.03867,2.68555,29.0,65.0
2022-01-16 03:16:46,2022-01-16 03:16:46,978.73718,7.71838,0.02356,2.68555,29.0,65.0
2022-01-16 03:22:00,2022-01-16 03:22:00,950.74078,7.71838,0.0328,3.36914,29.0,65.0
2022-01-16 03:27:15,2022-01-16 03:27:15,945.1781,7.71838,0.01852,2.68555,29.0,66.0
2022-01-16 03:32:28,2022-01-16 03:32:28,950.74078,7.71838,0.02608,2.68555,29.0,65.0
2022-01-16 03:37:43,2022-01-16 03:37:43,950.74078,7.65622,0.02692,2.68555,29.0,65.0
2022-01-16 03:42:58,2022-01-16 03:42:58,950.74078,7.65622,0.02524,2.68555,29.0,65.0
2022-01-16 03:48:11,2022-01-16 03:48:11,973.5940666666665,7.563305,0.03364,2.68555,29.0,66.0
2022-01-16 03:53:26,2022-01-16 03:53:26,978.73718,7.71838,0.03028,3.17383,29.0,65.0
2022-01-16 03:58:39,2022-01-16 03:58:39,950.74078,7.728905,0.02944,2.68555,29.0,65.0
2022-01-16 04:03:53,2022-01-16 04:03:53,978.73718,7.78087,0.02272,2.68555,29.0,65.0
2022-01-16 04:09:07,2022-01-16 04:09:07,950.74078,7.78087,0.03196,2.68555,29.0,65.0
2022-01-16 04:14:21,2022-01-16 04:14:21,978.73718,7.8437,0.02608,2.68555,29.0,65.0
2022-01-16 04:19:36,2022-01-16 04:19:36,950.74078,7.78087,0.03196,2.68555,29.0,65.0
2022-01-16 04:24:51,2022-01-16 04:24:51,950.74078,7.71838,0.02272,2.68555,29.0,65.0
2022-01-16 04:30:04,2022-01-16 04:30:04,950.74078,7.71838,0.01936,2.68555,29.0,65.0
2022-01-16 04:35:19,2022-01-16 04:35:19,955.4068466666666,7.718543333333334,0.0328,2.68555,29.0,65.0
2022-01-16 04:40:33,2022-01-16 04:40:33,978.73718,7.71838,0.03448,2.68555,29.0,65.0
2022-01-16 04:45:47,2022-01-16 04:45:47,945.1781,7.71838,0.01516,2.68555,29.0,66.0
2022-01-16 04:51:01,2022-01-16 04:51:01,945.1781,7.59438,0.03951,2.68555,29.0,66.0
2022-01-16 04:56:15,2022-01-16 04:56:15,945.1781,7.59438,0.02776,2.68555,29.0,66.0
2022-01-16 05:01:30,2022-01-16 05:01:30,1040.39285,7.928026666666667,0.03112,3.32031,29.0,66.0
2022-01-16 05:06:44,2022-01-16 05:06:44,1243.2539,6.952446666666667,0.0286,2.68555,29.0,67.0
2022-01-16 05:11:57,2022-01-16 05:11:57,939.63647,7.59438,0.0244,2.68555,29.0,67.0
2022-01-16 05:17:12,2022-01-16 05:17:12,967.30609,7.59438,0.03196,2.68555,29.0,67.0
2022-01-16 05:22:26,2022-01-16 05:22:26,967.30609,7.65622,0.03279833333333333,2.68555,29.0,67.0
2022-01-16 05:27:39,2022-01-16 05:27:39,967.30609,7.65622,0.02608,2.68555,29.0,67.0
2022-01-16 05:32:53,2022-01-16 05:32:53,971.48737,7.65622,0.02776,2.68555,28.0,68.0
2022-01-16 05:38:07,2022-01-16 05:38:07,971.48737,7.65622,0.03699,2.68555,28.0,68.0
2022-01-16 05:43:22,2022-01-16 05:43:22,971.48737,7.59438,0.0328,2.68555,28.0,68.0
2022-01-16 05:48:36,2022-01-16 05:48:36,971.48737,7.59438,0.03699,2.68555,28.0,68.0
2022-01-16 05:53:50,2022-01-16 05:53:50,980.94377,7.594493333333333,0.03364,2.68555,28.0,68.0
2022-01-16 05:59:05,2022-01-16 05:59:05,965.78857,7.59438,0.036995,2.68555,28.0,69.0
2022-01-16 06:04:20,2022-01-16 06:04:20,971.48737,7.59438,0.034335,3.125,28.0,68.0
2022-01-16 06:09:34,2022-01-16 06:09:34,993.99133,7.53288,0.02944,2.68555,28.0,69.0
2022-01-16 06:14:49,2022-01-16 06:14:49,971.48737,7.53288,0.02608,2.68555,28.0,68.0
2022-01-16 06:20:03,2022-01-16 06:20:03,999.85657,7.53288,0.02944,2.68555,28.0,68.0
2022-01-16 06:25:17,2022-01-16 06:25:17,999.85657,7.59438,0.02524,2.68555,28.0,68.0
2022-01-16 06:30:32,2022-01-16 06:30:32,993.99133,7.59438,0.03951,2.68555,28.0,69.0
2022-01-16 06:35:45,2022-01-16 06:35:45,999.85657,7.59438,0.01852,3.36914,28.0,68.0
2022-01-16 06:41:00,2022-01-16 06:41:00,999.85657,7.65622,0.03699,2.68555,28.0,68.0
2022-01-16 06:46:14,2022-01-16 06:46:14,999.85657,7.59438,0.04035,2.68555,28.0,68.0
2022-01-16 06:51:28,2022-01-16 06:51:28,965.78857,7.29011,0.03615,2.63672,28.0,69.0
2022-01-16 06:56:43,2022-01-16 06:56:43,1022.7779,7.53288,0.04287,2.63672,28.0,69.0
2022-01-16 07:01:57,2022-01-16 07:01:57,999.85657,7.53288,0.02776,2.68555,28.0,68.0
2022-01-16 07:07:11,2022-01-16 07:07:11,999.85657,7.4717,0.04035,2.68555,28.0,68.0
2022-01-16 07:12:25,2022-01-16 07:12:25,1028.8132,7.65622,0.04455,2.73438,28.0,68.0
2022-01-16 07:17:40,2022-01-16 07:17:40,1004.7805800000001,7.604906666666667,0.04539,3.36914,28.0,68.0
2022-01-16 07:22:58,2022-01-16 07:22:58,1028.8132,7.71838,0.03028,2.73438,28.0,68.0
2022-01-16 07:28:12,2022-01-16 07:28:12,1018.3665,7.8437,0.03448,2.7832,29.0,68.0
2022-01-16 07:33:26,2022-01-16 07:33:26,1018.3665,7.78087,0.03699,2.7832,29.0,68.0
2022-01-16 07:38:44,2022-01-16 07:38:44,1024.3849,7.78087,0.0328,3.56445,29.0,67.0
2022-01-16 07:43:59,2022-01-16 07:43:59,1054.21135,7.835883333333334,0.036015,3.51563,29.0,67.0
2022-01-16 07:49:13,2022-01-16 07:49:13,1018.3665,7.78087,0.02692,2.83203,29.0,68.0
2022-01-16 07:54:27,2022-01-16 07:54:27,1024.3849,7.8437,0.04287,2.88086,29.0,67.0
2022-01-16 07:59:40,2022-01-16 07:59:40,1024.3849,7.90686,0.03951,2.88086,29.0,67.0
2022-01-16 08:04:55,2022-01-16 08:04:55,1024.3849,7.97036,0.04203,2.88086,29.0,67.0
2022-01-16 08:10:10,2022-01-16 08:10:10,1030.426,7.90686,0.03112,2.88086,29.0,66.0
2022-01-16 08:15:25,2022-01-16 08:15:25,1030.426,7.90686,0.03028,2.88086,29.0,66.0
2022-01-16 08:20:39,2022-01-16 08:20:39,1040.39285,7.740875,0.04371,3.56445,29.0,66.0
2022-01-16 08:25:54,2022-01-16 08:25:54,1090.2271,6.942915,0.02692,2.88086,29.0,66.0
2022-01-16 08:31:10,2022-01-16 08:31:10,1030.426,7.90686,0.04203,3.56445,29.0,66.0
2022-01-16 08:36:24,2022-01-16 08:36:24,1030.426,7.90686,0.0286,2.92969,29.0,66.0
2022-01-16 08:41:39,2022-01-16 08:41:39,1030.426,7.97036,0.03209833333333333,2.92969,29.0,66.0
2022-01-16 08:46:55,2022-01-16 08:46:55,1030.426,7.97036,0.03783,2.92969,29.0,66.0
2022-01-16 08:52:10,2022-01-16 08:52:10,1036.4904,7.90686,0.04707,2.92969,29.0,65.0
2022-01-16 08:57:25,2022-01-16 08:57:25,1036.4904,7.8437,0.03867,2.92969,29.0,65.0
2022-01-16 09:02:41,2022-01-16 09:02:41,1066.2627,7.97036,0.03531,3.61328,29.0,65.0
2022-01-16 09:07:56,2022-01-16 09:07:56,1066.2627,8.03419,0.02944,2.97852,29.0,65.0
2022-01-16 09:13:15,2022-01-16 09:13:15,1050.2864666666667,8.05558,0.03475666666666667,2.97852,29.5,65.5
2022-01-16 09:18:19,2022-01-16 09:18:19,1049.2667,8.09836,0.03028,2.97852,30.0,66.0
2022-01-16 09:23:35,2022-01-16 09:23:35,1055.4645,8.09836,0.034755,2.97852,30.0,65.0
2022-01-16 09:28:50,2022-01-16 09:28:50,1049.2667,8.03419,0.03867,2.97852,30.0,66.0
2022-01-16 09:34:09,2022-01-16 09:34:09,1048.4867666666667,8.066275000000001,0.036575,2.97852,30.0,65.5
2022-01-16 09:39:16,2022-01-16 09:39:16,1025.9937,8.03419,0.03196,2.97852,30.0,65.0
2022-01-16 09:44:34,2022-01-16 09:44:34,1055.4645,8.09836,0.04035,3.02734,30.0,65.0
2022-01-16 09:49:48,2022-01-16 09:49:48,1055.4645,8.03419,0.03028,3.02734,30.0,65.0
2022-01-16 09:55:06,2022-01-16 09:55:06,943.9939977777776,7.78087,0.03615,3.02734,29.0,63.0
2022-01-16 10:00:21,2022-01-16 10:00:21,1061.686,8.16288,0.02524,3.07617,30.0,64.0
2022-01-16 10:05:35,2022-01-16 10:05:35,1061.686,8.16288,0.02776,3.07617,30.0,64.0
2022-01-16 10:10:49,2022-01-16 10:10:49,1061.686,8.09836,0.03028,3.07617,30.0,64.0
2022-01-16 10:16:04,2022-01-16 10:16:04,1061.686,8.16288,0.0328,3.07617,30.0,64.0
2022-01-16 10:21:19,2022-01-16 10:21:19,1061.686,8.03419,0.02356,3.07617,30.0,64.0
2022-01-16 10:26:37,2022-01-16 10:26:37,1056.7452166666665,8.10923,0.02356,3.80859,30.0,64.0
2022-01-16 10:31:52,2022-01-16 10:31:52,1038.1116,8.03419,0.03028,3.125,30.0,63.0
2022-01-16 10:37:06,2022-01-16 10:37:06,1032.0413,8.03419,0.03699,3.125,30.0,64.0
2022-01-16 10:42:21,2022-01-16 10:42:21,1044.2045,7.59438,0.02608,3.07617,30.0,62.0
2022-01-16 10:47:37,2022-01-16 10:47:37,1044.2045,7.65622,0.0244,3.07617,30.0,62.0
2022-01-16 10:52:52,2022-01-16 10:52:52,1074.1986,7.97036,0.03196,3.85742,30.0,62.0
2022-01-16 10:58:06,2022-01-16 10:58:06,1067.9303,7.90686,0.02356,3.90625,30.0,63.0
2022-01-16 11:03:21,2022-01-16 11:03:21,986.02136,7.4717,0.03699,3.125,30.0,62.0
2022-01-16 11:08:36,2022-01-16 11:08:36,1067.9303,7.151503333333333,0.02356,3.90625,30.0,63.0
2022-01-16 11:13:49,2022-01-16 11:13:49,1063.3485,8.09836,0.01852,3.27148,31.0,62.0
2022-01-16 11:19:03,2022-01-16 11:19:03,1093.646,8.29293,0.01936,3.32031,31.0,62.0
2022-01-16 11:24:18,2022-01-16 11:24:18,1093.646,8.22773,0.01768,3.36914,31.0,62.0
2022-01-16 11:29:34,2022-01-16 11:29:34,1058.89998,7.968181666666666,0.028736666666666664,4.05273,31.0,62.0
2022-01-16 11:34:49,2022-01-16 11:34:49,1063.3485,8.22773,0.04035,3.41797,31.0,62.0
2022-01-16 11:40:04,2022-01-16 11:40:04,1058.89998,7.968181666666666,0.03112,3.4668,31.0,62.0
2022-01-16 11:45:19,2022-01-16 11:45:19,1063.3485,8.22773,0.03139833333333333,3.61328,31.0,62.0
2022-01-16 11:50:34,2022-01-16 11:50:34,1069.5995,8.22773,0.03112,3.61328,31.0,61.0
2022-01-16 11:55:49,2022-01-16 11:55:49,1069.5995,8.22773,0.03364,3.4668,31.0,61.0
2022-01-16 12:01:03,2022-01-16 12:01:03,1069.5995,8.03419,0.0286,3.71094,31.0,61.0
2022-01-16 12:06:18,2022-01-16 12:06:18,1045.8331,7.97036,0.03699,3.66211,31.0,60.0
2022-01-16 12:11:32,2022-01-16 12:11:32,1075.874,8.03419,0.03056,3.66211,31.0,60.0
2022-01-16 12:16:47,2022-01-16 12:16:47,1058.7799,8.03419,0.03112,3.71094,32.0,61.0
2022-01-16 12:22:02,2022-01-16 12:22:02,1035.276,7.97036,0.0328,3.61328,32.0,60.0
2022-01-16 12:27:16,2022-01-16 12:27:16,1075.874,8.03419,0.0328,3.80859,31.0,60.0
2022-01-16 12:32:31,2022-01-16 12:32:31,1095.358,8.16288,0.03028,3.85742,32.0,60.0
2022-01-16 12:37:45,2022-01-16 12:37:45,1065.0132,8.22773,0.03783,3.90625,32.0,60.0
2022-01-16 12:43:01,2022-01-16 12:43:01,1071.2708,8.16288,0.02482,3.85742,32.0,59.0
2022-01-16 12:48:15,2022-01-16 12:48:15,1071.2708,8.16288,0.02482,3.85742,32.0,59.0
2022-01-16 12:53:29,2022-01-16 12:53:29,1041.3583,7.90686,0.02104,3.85742,32.0,59.0
2022-01-16 12:58:43,2022-01-16 12:58:43,1077.5509,8.16288,0.02944,3.80859,32.0,58.0
2022-01-16 13:03:57,2022-01-16 13:03:57,1077.5509,8.03419,0.02356,3.85742,32.0,58.0
2022-01-16 13:09:12,2022-01-16 13:09:12,1077.5509,8.22773,0.04119,3.75977,32.0,58.0
2022-01-16 13:14:26,2022-01-16 13:14:26,1077.5509,8.22773,0.0244,3.61328,32.0,58.0
2022-01-16 13:19:43,2022-01-16 13:19:43,1071.2708,8.22773,0.0244,3.85742,32.0,59.0
2022-01-16 13:24:58,2022-01-16 13:24:58,1071.2708,8.22773,0.0244,4.05273,32.0,59.0
2022-01-16 13:30:13,2022-01-16 13:30:13,1077.5509,8.16288,0.027198333333333335,3.95508,32.0,58.0
2022-01-16 13:35:27,2022-01-16 13:35:27,1019.8683850000001,7.954676666666668,0.02692,4.73633,32.0,58.0
2022-01-16 13:40:41,2022-01-16 13:40:41,1047.4635,8.16288,0.03028,3.61328,32.0,58.0
2022-01-16 13:45:56,2022-01-16 13:45:56,1071.2708,8.22773,0.03112,4.15039,32.0,59.0
2022-01-16 13:51:10,2022-01-16 13:51:10,1071.2708,8.29293,0.0286,3.51563,32.0,59.0
2022-01-16 13:56:25,2022-01-16 13:56:25,1071.2708,8.22773,0.02524,3.56445,32.0,59.0
2022-01-16 14:01:40,2022-01-16 14:01:40,1071.2708,8.22773,0.01516,4.10156,32.0,59.0
2022-01-16 14:06:54,2022-01-16 14:06:54,1077.5509,8.29293,0.01768,4.78516,32.0,58.0
2022-01-16 14:12:09,2022-01-16 14:12:09,1042.9844,7.8437,0.02104,3.85742,33.0,57.0
2022-01-16 14:17:23,2022-01-16 14:17:23,1103.5135,8.35847,0.0328,4.15039,33.0,57.0
2022-01-16 14:22:38,2022-01-16 14:22:38,1109.9791,8.42437,0.03951,4.15039,33.0,56.0
2022-01-16 14:27:52,2022-01-16 14:27:52,1141.3524,7.568683333333333,0.01516,3.66211,33.0,56.0
2022-01-16 14:33:07,2022-01-16 14:33:07,1134.7042,8.49061,0.02692,3.51563,33.0,57.0
2022-01-16 14:38:22,2022-01-16 14:38:22,1134.7042,8.49061,0.03112,3.90625,33.0,57.0
2022-01-16 14:43:41,2022-01-16 14:43:41,1111.2062999999998,8.360825,0.02775833333333334,3.9021120338983053,32.99152542372882,57.021186440677965
2022-01-16 14:49:00,2022-01-16 14:49:00,1111.2062999999998,8.360825,0.02775833333333334,3.89797406779661,32.983050847457626,57.04237288135593
2022-01-16 14:54:19,2022-01-16 14:54:19,1045.0080716666664,8.088576666666667,0.028038333333333335,3.8938361016949155,32.97457627118644,57.063559322033896
2022-01-16 14:59:38,2022-01-16 14:59:38,1045.0080716666669,8.088576666666667,0.028038333333333332,3.8896981355932203,32.96610169491525,57.08474576271186
2022-01-16 15:04:57,2022-01-16 15:04:57,1045.0080716666669,8.088576666666667,0.028038333333333332,3.8855601694915256,32.95762711864407,57.105932203389834
2022-01-16 15:10:16,2022-01-16 15:10:16,1045.0080716666664,8.088576666666667,0.028038333333333335,3.8814222033898305,32.94915254237288,57.1271186440678
2022-01-16 15:15:35,2022-01-16 15:15:35,1045.0080716666669,8.088576666666667,0.028038333333333332,3.8772842372881358,32.940677966101696,57.148305084745765
2022-01-16 15:20:54,2022-01-16 15:20:54,1045.0080716666669,8.088576666666667,0.028038333333333332,3.8731462711864406,32.932203389830505,57.16949152542373
2022-01-16 15:26:13,2022-01-16 15:26:13,1045.0080716666664,8.088576666666667,0.028038333333333335,3.869008305084746,32.92372881355932,57.190677966101696
2022-01-16 15:31:32,2022-01-16 15:31:32,1034.3744883333331,8.001410000000002,0.029438333333333334,3.8648703389830508,32.91525423728814,57.21186440677966
2022-01-16 15:36:51,2022-01-16 15:36:51,1034.3744883333331,8.001410000000002,0.029438333333333334,3.860732372881356,32.90677966101695,57.233050847457626
2022-01-16 15:42:10,2022-01-16 15:42:10,1034.3744883333331,8.001410000000002,0.029438333333333334,3.856594406779661,32.898305084745765,57.25423728813559
2022-01-16 15:47:29,2022-01-16 15:47:29,1034.3744883333331,8.001410000000002,0.029438333333333334,3.852456440677966,32.889830508474574,57.27542372881356
2022-01-16 15:52:48,2022-01-16 15:52:48,1034.3744883333331,8.001410000000002,0.029438333333333334,3.848318474576271,32.88135593220339,57.29661016949152
2022-01-16 15:58:07,2022-01-16 15:58:07,1034.3744883333331,8.001410000000002,0.029438333333333334,3.8441805084745764,32.8728813559322,57.317796610169495
2022-01-16 16:03:26,2022-01-16 16:03:26,1034.3744883333331,8.001410000000002,0.029438333333333334,3.8400425423728812,32.86440677966102,57.33898305084746
2022-01-16 16:08:45,2022-01-16 16:08:45,1034.3744883333331,8.001410000000002,0.029438333333333334,3.8359045762711865,32.855932203389834,57.360169491525426
2022-01-16 16:14:04,2022-01-16 16:14:04,1034.3744883333334,8.022858333333334,0.030418333333333335,3.8317666101694914,32.847457627118644,57.38135593220339
2022-01-16 16:19:23,2022-01-16 16:19:23,1034.3744883333334,8.022858333333334,0.030418333333333335,3.8276286440677967,32.83898305084746,57.402542372881356
2022-01-16 16:24:42,2022-01-16 16:24:42,1034.3744883333331,8.022858333333334,0.030418333333333335,3.8234906779661015,32.83050847457627,57.42372881355932
2022-01-16 16:30:01,2022-01-16 16:30:01,1095.1680166666667,8.230076666666667,0.02748,3.819352711864407,32.82203389830509,57.44491525423729
2022-01-16 16:35:20,2022-01-16 16:35:20,1095.1680166666667,8.230076666666667,0.02748,3.8152147457627117,32.813559322033896,57.46610169491525
2022-01-16 16:40:39,2022-01-16 16:40:39,1095.1680166666667,8.230076666666667,0.02748,3.811076779661017,32.80508474576271,57.48728813559322
2022-01-16 16:45:58,2022-01-16 16:45:58,1037.4855016666668,8.032286666666668,0.030138333333333333,3.806938813559322,32.79661016949152,57.50847457627118
2022-01-16 16:51:17,2022-01-16 16:51:17,1095.1680166666667,8.262333333333334,0.030418333333333335,3.802800847457627,32.78813559322034,57.529661016949156
2022-01-16 16:56:36,2022-01-16 16:56:36,1095.1680166666667,8.262333333333334,0.030418333333333335,3.798662881355932,32.779661016949156,57.55084745762712
2022-01-16 17:01:55,2022-01-16 17:01:55,1037.4855016666668,8.032286666666668,0.030138333333333333,3.7945249152542373,32.771186440677965,57.57203389830509
2022-01-16 17:07:14,2022-01-16 17:07:14,1037.4855016666668,8.032286666666668,0.030138333333333333,3.790386949152542,32.76271186440678,57.59322033898305
2022-01-16 17:12:33,2022-01-16 17:12:33,1037.4855016666668,8.032286666666668,0.030138333333333333,3.7862489830508474,32.75423728813559,57.61440677966102
2022-01-16 17:17:52,2022-01-16 17:17:52,1037.4855016666668,8.043095000000001,0.03209666666666667,3.7821110169491527,32.74576271186441,57.63559322033898
2022-01-16 17:23:11,2022-01-16 17:23:11,1037.4855016666668,8.043095000000001,0.03209666666666667,3.7779730508474576,32.73728813559322,57.65677966101695
2022-01-16 17:28:30,2022-01-16 17:28:30,1033.1584016666666,8.010496666666667,0.031536666666666664,3.773835084745763,32.728813559322035,57.67796610169491
2022-01-16 17:33:49,2022-01-16 17:33:49,1023.6328516666666,7.934426666666668,0.03097666666666667,3.7696971186440678,32.720338983050844,57.69915254237288
2022-01-16 17:39:08,2022-01-16 17:39:08,1014.8538183333334,7.94381,0.03139666666666666,3.765559152542373,32.71186440677966,57.720338983050844
2022-01-16 17:44:27,2022-01-16 17:44:27,1014.8538183333334,7.94381,0.03139666666666666,3.761421186440678,32.70338983050848,57.74152542372882
2022-01-16 17:49:46,2022-01-16 17:49:46,1014.8538183333334,7.94381,0.03139666666666666,3.757283220338983,32.69491525423729,57.76271186440678
2022-01-16 17:55:05,2022-01-16 17:55:05,1014.8538183333334,7.94381,0.03139666666666667,3.753145254237288,32.686440677966104,57.78389830508475
2022-01-16 18:00:24,2022-01-16 18:00:24,1014.8538183333334,7.94381,0.03139666666666666,3.7490072881355934,32.67796610169491,57.80508474576271
2022-01-16 18:05:43,2022-01-16 18:05:43,1014.8538183333334,7.94381,0.03139666666666666,3.744869322033898,32.66949152542373,57.82627118644068
2022-01-16 18:11:02,2022-01-16 18:11:02,1014.8538183333334,7.94381,0.03139666666666666,3.7407313559322035,32.66101694915254,57.847457627118644
2022-01-16 18:16:21,2022-01-16 18:16:21,1014.8538183333334,7.94381,0.03139666666666666,3.7365933898305084,32.652542372881356,57.86864406779661
2022-01-16 18:21:40,2022-01-16 18:21:40,1014.8538183333334,7.94381,0.03139666666666666,3.7324554237288137,32.644067796610166,57.889830508474574
2022-01-16 18:26:59,2022-01-16 18:26:59,1014.8538183333334,7.94381,0.03139666666666666,3.7283174576271185,32.63559322033898,57.91101694915254
2022-01-16 18:32:18,2022-01-16 18:32:18,1014.8538183333334,7.94381,0.03139666666666666,3.724179491525424,32.6271186440678,57.932203389830505
2022-01-16 18:37:37,2022-01-16 18:37:37,1014.8538183333334,7.94381,0.03139666666666666,3.7200415254237287,32.61864406779661,57.95338983050848
2022-01-16 18:42:56,2022-01-16 18:42:56,1014.8538183333334,7.94381,0.03139666666666666,3.715903559322034,32.610169491525426,57.97457627118644
2022-01-16 18:48:15,2022-01-16 18:48:15,1014.8538183333334,7.94381,0.03139666666666666,3.711765593220339,32.601694915254235,57.99576271186441
2022-01-16 18:53:34,2022-01-16 18:53:34,1014.8538183333334,7.94381,0.03139666666666666,3.707627627118644,32.59322033898305,58.016949152542374
2022-01-16 18:58:53,2022-01-16 18:58:53,1014.8538183333334,7.94381,0.03139666666666666,3.703489661016949,32.58474576271186,58.03813559322034
2022-01-16 19:04:12,2022-01-16 19:04:12,1014.8538183333335,7.94381,0.03139666666666666,3.6993516949152543,32.57627118644068,58.059322033898304
2022-01-16 19:09:31,2022-01-16 19:09:31,1014.8538183333334,7.94381,0.03139666666666666,3.695213728813559,32.567796610169495,58.08050847457627
2022-01-16 19:14:50,2022-01-16 19:14:50,1014.8538183333334,7.94381,0.03139666666666666,3.6910757627118644,32.559322033898304,58.101694915254235
2022-01-16 19:20:09,2022-01-16 19:20:09,1014.8538183333335,7.94381,0.03139666666666666,3.6869377966101693,32.55084745762712,58.1228813559322
2022-01-16 19:25:28,2022-01-16 19:25:28,1014.8538183333334,7.94381,0.03139666666666666,3.6827998305084746,32.54237288135593,58.14406779661017
2022-01-16 19:30:47,2022-01-16 19:30:47,1014.8538183333334,7.94381,0.03139666666666666,3.6786618644067794,32.53389830508475,58.16525423728814
2022-01-16 19:36:06,2022-01-16 19:36:06,1014.8538183333334,7.94381,0.03139666666666666,3.6745238983050847,32.52542372881356,58.186440677966104
2022-01-16 19:41:25,2022-01-16 19:41:25,1014.8538183333334,7.94381,0.03139666666666666,3.6703859322033896,32.516949152542374,58.20762711864407
2022-01-16 19:46:44,2022-01-16 19:46:44,1014.8538183333334,7.94381,0.03139666666666666,3.666247966101695,32.50847457627118,58.228813559322035
2022-01-16 19:52:03,2022-01-16 19:52:03,1014.8538183333334,7.94381,0.03139666666666666,3.66211,32.5,58.25
